torre_id,datalog_id,canal_conexion_dl,sensor_id,altura_medicion,descripcion,unidades,numero_serie,marca,modelo,slope,offset,long_brazo_horizontal,long_brazo_vertical,orientacion,tipo,clase_sensor,anio_instalacion,fecha_instalacion,fecha_certificacion,fecha_calibracion,duracion_calibracion,activo
TPI-T5,TPI-T5-DatLog-1,4,TPI-T5-A-4,40.0,anemometro                              ,m/s,5161353,Thies Clima,4.3351.10.000,0.04596,0.2549,1.85,0.952,180.0,Horizontal                              ,Clase I                                 ,2016.0,,2016-05-06,,,True
TPI-T5,TPI-T5-DatLog-1,26,TPI-T5-A-5,78.0,anemometro                              ,m/s,S/S,RM Young Company,27106T,18.0,0.0,1.85,0.952,180.0,Vertical                                ,,2016.0,,,,,True
HPA-T2,HPA-T2-DatLog-1,999,HPA-T2-A-1,80.5,anemometro                              ,m/s,1208478,Thies Clima,4.3351.10.000,0.04586,0.2377,,1.7,,Horizontal                              ,Clase I                                 ,2020.0,,,,,True
HPA-T2,HPA-T2-DatLog-1,999,HPA-T2-A-2,78.7,anemometro                              ,m/s,1208475,Thies Clima,4.3351.10.000,0.0459,0.2357,3.0,1.05,,Horizontal                              ,Clase I                                 ,2020.0,,,,,True
HPA-T2,HPA-T2-DatLog-1,999,HPA-T2-A-3,60.0,anemometro                              ,m/s,1208471,Thies Clima,4.3351.10.000,0.04585,0.2417,5.0,1.05,,Horizontal                              ,Clase I                                 ,2020.0,,,,,True
HPA-T2,HPA-T2-DatLog-1,999,HPA-T2-A-4,40.0,anemometro                              ,m/s,1208473,Thies Clima,4.3351.10.000,0.04584,0.261,5.0,1.05,,Horizontal                              ,Clase I                                 ,2020.0,,,,,True
HPA-T2,HPA-T2-DatLog-1,999,HPA-T2-A-5,75.0,anemometro                              ,m/s,7346,RM Young Company,27106T,,,3.0,0.825,,Vertical                                ,,2020.0,,,,,True
HPA-T3,HPA-T3-DatLog-1,999,HPA-T3-A-1,80.5,anemometro                              ,m/s,1208470,Thies Clima,4.3351.10.000,0.04573,0.2666,,1.7,,Horizontal                              ,Clase I                                 ,2020.0,,,,,True
HPA-T3,HPA-T3-DatLog-1,999,HPA-T3-A-2,78.7,anemometro                              ,m/s,1208469,Thies Clima,4.3351.10.000,0.04585,0.2417,3.0,1.05,,Horizontal                              ,Clase I                                 ,2020.0,,,,,True
HPA-T3,HPA-T3-DatLog-1,999,HPA-T3-A-3,60.0,anemometro                              ,m/s,1208482,Thies Clima,4.3351.10.000,0.04589,0.229,5.0,1.05,,Horizontal                              ,Clase I                                 ,2020.0,,,,,True
HPA-T3,HPA-T3-DatLog-1,999,HPA-T3-A-4,40.0,anemometro                              ,m/s,1208481,Thies Clima,4.3351.10.000,0.04581,0.2582,5.0,1.05,,Horizontal                              ,Clase I                                 ,2020.0,,,,,True
HPA-T3,HPA-T3-DatLog-1,999,HPA-T3-A-5,75.0,anemometro                              ,m/s,7342,RM Young Company,27106T,,,3.0,0.825,,Vertical                                ,,2020.0,,,,,True
HPA-T4,HPA-T4-DatLog-1,999,HPA-T4-A-1,80.5,anemometro                              ,m/s,1208480,Thies Clima,4.3351.10.000,0.04584,0.2448,,1.7,,Horizontal                              ,Clase I                                 ,2020.0,,,,,True
HPA-T4,HPA-T4-DatLog-1,999,HPA-T4-A-2,78.7,anemometro                              ,m/s,1208477,Thies Clima,4.3351.10.000,0.04587,0.2332,3.0,1.05,,Horizontal                              ,Clase I                                 ,2020.0,,,,,True
HPA-T4,HPA-T4-DatLog-1,999,HPA-T4-A-3,60.0,anemometro                              ,m/s,1208466,Thies Clima,4.3351.10.000,0.04591,0.2268,5.0,1.05,,Horizontal                              ,Clase I                                 ,2020.0,,,,,True
HPA-T2,HPA-T2-DatLog-1,999,HPA-T2-V-2,60.0,veleta                                  ,deg,1799-00033425,NRG,1799,,,5.0,1.05,,,,2020.0,,,,,True
HPA-T4,HPA-T4-DatLog-1,999,HPA-T4-A-4,40.0,anemometro                              ,m/s,1208472,Thies Clima,4.3351.10.000,0.04594,0.2237,5.0,1.05,,Horizontal                              ,Clase I                                 ,2020.0,,,,,True
HPA-T4,HPA-T4-DatLog-1,999,HPA-T4-A-5,75.0,anemometro                              ,m/s,7318,RM Young Company,27106T,,,3.0,0.825,,Vertical                                ,,2020.0,,,,,True
HPA-T5,HPA-T5-DatLog-1,Analog C2,HPA-T5-A-1,31.5,anemometro                              ,m/s,20497,Windsensor,P2546A-OPR,0.00077,0.03877,,1.5,,Horizontal                              ,Clase I                                 ,2018.0,,2018-07-01,,,True
HPA-T5,HPA-T5-DatLog-1,P1,HPA-T5-A-2,20.0,anemometro                              ,m/s,1.795E+11,NRG,NRG 40C,0.00152,0.04699,4.5,0.6,330.0,Horizontal                              ,,2018.0,,2018-02-26,,,True
HPA-T5,HPA-T5-DatLog-1,P2,HPA-T5-A-3,10.0,anemometro                              ,m/s,1.795E+11,NRG,NRG 40C,0.0015,0.04779,4.5,0.6,330.0,Horizontal                              ,,2018.0,,2018-02-26,,,True
HPA-T5,HPA-T5-DatLog-1,3L,HPA-T5-A-4,10.0,anemometro                              ,m/s,PA6495,RM Young Company,27106T,,,4.5,0.6,,Vertical                                ,,2018.0,,2018-08-16,,,True
